"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"
"feces__J425"	0.165671626683626	0.00221970487680718	-0.0504560699039142	0.117441248497142	0.11901002672855	-0.219902024727717	0.016924073160591	-0.272629899905466	0.103217487938499	-0.197067584726576	0.156456608524934	0.190189609723867	0.0245059932632058	-0.127157737440661	-0.188542069590411	-0.0703283024116049	0.318027325060328	-0.12788349170009	-0.0730423216393184	-0.162943797111521	-0.00496792304069689	0.0383668765848141	0.0900077513522988	-0.108425288645582	0.0213387763820557	-0.261053541390271	-0.310512889333066	0.0480953664245188	-0.0638927843724592
"feces__J426"	-0.189399224261681	-0.00736178619235919	-0.0714470317811847	-0.00559894574935643	0.0223594496002808	-0.167257883893566	-0.0423905480472927	0.100185440170866	0.251653322938253	0.0141548066790842	-0.0376758005228329	0.140616351512328	-0.194818998388915	-0.278609233743771	0.121591748189405	-0.208910382638367	-0.163307438373045	0.176216913488679	0.244422072344491	-0.242896750340482	0.145830460276301	-0.195159102483441	0.0056337682840409	0.167907621897593	0.0526204067882345	0.00391224695540836	-0.233972613473125	0.0358160272738973	0.035447932109654
"feces__J427"	0.131403931628847	0.144102270978352	-0.12365344078449	-0.0910044542890498	-0.32631247047791	-0.19912493379184	0.0475491971830359	-0.165128301768262	-0.080508550231468	0.148078441974844	0.12872331951858	-0.0204264211381975	-0.317407186120777	-0.131126774489156	0.0678998025484515	-0.11733889172344	-0.0905786058246391	0.161881121428139	-0.0890031500241304	0.0361978362285386	0.0959276018733523	0.156088086305056	-0.0477251866353362	0.0800306667799409	-0.206251499922184	-0.0476566392042073	0.180196610539854	-0.00721795508288954	0.0185279429323075
"feces__J428"	0.134081570030944	-0.158399786153	-0.102926645072854	-0.192901689235301	-0.056074673258562	0.183352727366645	-0.115993000718559	0.0338800981741812	0.00955932265713612	-0.238980804381401	-0.00147117433660613	-0.0652847944750438	-0.0660934702975098	-0.10870618320328	-0.167136716977826	0.159324086820604	-0.289416064276604	-0.0018107411537546	-0.117377972658045	-0.206969878723446	-0.0153768611314407	0.205858832509654	0.12967054963588	0.346855513283468	-0.157847591164953	-0.156885148725762	0.148070256229376	-0.159085500980543	0.233038936945773
"feces__J429"	-0.0474889830540006	0.258649807170613	0.386299518822739	0.00728131095401887	-0.207522995263476	0.0226399015946282	0.168937610422182	0.119194696070503	-0.179472910212764	-0.148539553485556	-0.161201897609462	0.0218498171071161	0.0758907337324437	0.00248537628723678	-0.194500429522883	0.341856702147587	-0.0186637433132383	0.166472872504256	-0.00817947458938935	-0.010434926431296	-0.0386723879557577	0.0174826980151838	0.0612073999935785	0.035413853051779	-0.0450361885312885	-0.0552758223106188	-0.0390868389519792	0.305656280893727	-0.10660431067214
"feces__J430"	0.0986656745448578	-0.0509123381122785	-0.00856036879497045	0.0313834319590242	-0.178901551646533	0.211654969423774	-0.253710595019734	-0.170623756793785	0.000564586739875427	-0.0713049134420077	-0.0733477234999057	-0.103187545066037	-0.112527415768346	0.153460150194711	0.0759229315685484	-0.0689698915241671	0.0711684663191081	-0.175557365711789	-0.0547226839814627	-0.172645407104587	0.473452175148124	-0.00625190907404348	-0.0347583495793147	-0.132816375514138	-0.14763500884153	-0.122191939387275	-0.00915342365622137	0.138161502647849	-0.449939567204511
"feces__J431"	0.0888834692056994	-0.23651063624119	-0.0264634490810093	0.0466218526552079	-0.172788426001187	0.0135486164763171	0.18162856875235	-0.258503024078807	-0.0125975112557904	-0.0142849335283511	0.11834597829532	-0.218946900499203	0.130508371388562	0.138370710236265	0.142268881981091	0.126631083910882	-0.0837912884884074	0.037777745843065	-0.0316400606752165	0.194573192037709	0.131315696142442	-0.000206074495482531	0.276704545613526	-0.0920392963797174	0.0588316328966856	-0.0606297984083043	-0.0909519487829459	-0.118027522755199	-0.0445856370649065
"feces__J432"	-0.0658759510963776	-0.0651163250498424	0.205581540095702	0.0652298886019068	-0.0524998179375478	-0.0503506889844001	-0.0742655983890929	0.0418791143918797	-0.0955252885319337	-0.170290558660366	-0.10173472883471	0.0984043330226591	0.0527426131772171	-0.00390044811631558	-0.24383813131091	-0.244477970679274	0.15145187494665	0.0716209069427209	-0.266365226225565	0.159693990692229	0.441116999168904	-0.131950487887287	-0.148273760602845	0.124081528156775	-0.00447569878658706	0.285914871707205	0.0507355487943124	0.00844944345427271	0.380867405480609
"feces__J433"	-0.341902873121555	-0.090111727431334	0.00281708925381197	-0.00769336567550848	-0.11317727479168	0.064503893255722	-0.048927338803001	-0.195146989813919	0.090278565791824	-0.169241855888722	-0.0261421150422634	0.186122828266346	0.0605634695266728	-0.149021528269679	-0.00836577643694923	0.186022108755318	-0.131064587164467	-0.165499269061471	-0.139551685151317	0.0854963296175991	-0.316770625778198	-0.0267234220199904	-0.129019574682249	0.122486128160008	-0.323020933425772	-0.0565356652904433	0.0191836069418113	-0.0252152479038748	-0.093249573890865
"feces__J434"	-0.00782518234021241	0.231936019605214	0.0459339142468033	-0.128426411644302	-0.0901839431245966	-0.389995521752784	-0.00699462797627466	0.0918565423914383	0.272975038055719	-0.0418505697406562	0.162805582190187	0.0239999329888585	0.326009273217586	-0.168446173260138	-0.0218657588350347	0.0772300227450345	-0.041566294814674	-0.22846295670287	-0.00336604642769139	0.193963536120436	0.0158511948550746	-0.0292773279617444	0.0866979511010222	-0.157532773191396	-0.161770600848502	0.0610178275738262	-0.0809920855999499	-0.128190934045164	-0.0312361331443654
"feces__J435"	0.0596642561787861	0.446236232742015	-0.147881776634027	0.206648908733163	-0.0661211297851698	0.0286134731253227	0.0827285997155627	-0.270640175692544	-0.0421593018077359	0.121566138764351	0.0573463632913775	0.025053605331669	0.0568331023876775	-0.110173372721524	-0.137844674698784	0.0308938889577848	-0.170189824767849	0.100691621037751	-0.0983319626137562	-0.107898554061633	0.00739222208402061	-0.264376602454231	-0.195096091435963	0.00416347038867575	0.185541665611653	0.102105750296962	0.0614002021010757	-0.0432414574594482	-0.0417086305756851
"feces__J436"	0.136726781677898	0.191403479283677	-0.0546310700202243	-0.0350298388973443	-0.0705491022741424	0.344831050005667	-0.0658756679633563	0.17851380446709	-0.0538452405106584	0.122063004330762	0.21340233622396	0.168194352618149	-0.152040010203618	-0.0804783424654206	-0.0993914439337717	-0.213863939693673	-0.0141373916090329	-0.221471879057432	-0.0598531005919833	0.302996095353995	-0.0966656894002374	0.0216605213314917	0.158689404941466	0.217415513728931	0.203665782467446	-0.0170004702218732	-0.297727890986136	-0.00440538248046431	-0.0235279903517072
"feces__J437"	0.0481038195239184	0.00201563503419893	0.00871161886813299	0.0154925286513886	0.408643385316291	-0.0220586510548004	0.00374451217191039	-0.0701003941136534	-0.0792439676050281	-0.203157911605097	-0.269594560802588	-0.0774456023585494	0.107009517581552	-0.132106012739299	0.121008006070708	-0.0790531123749154	0.007092342910269	0.190349053726942	0.195497697657772	0.092823778875587	-0.00376285978957159	-0.054510565605739	-0.0686189088019769	0.0889466149679202	-0.215946198980764	-0.199203586120577	-0.173157749317042	0.0186531769235078	-0.0620276303109603
"feces__J438"	0.131883102022819	-0.0123513161390135	-0.0931129542919957	0.333725797025433	0.008437134008098	0.0950939534956266	-0.236646776104134	-0.0181486546268793	-0.091833616723181	-0.0645955765101124	0.301441841300362	-0.0777159799518995	0.0697519829175052	-0.0662065085352797	0.106448686072229	0.0796843867088649	0.103615739456022	0.0968730025877807	0.0516492466233383	-0.0245158113514489	-0.199785401577884	-0.283160991384921	-0.0348887896383648	0.00589396839208928	0.032434358300903	-0.258388347587386	0.242063143037631	0.210530017027286	0.250194792363014
"feces__J439"	-0.056293841496744	0.130493991472301	-0.118119400482462	0.0956525476200278	-0.0432065227732451	0.0648633792547405	0.0183741467281188	0.372214278909596	-0.210414903080224	0.133246865326765	0.0542815345404092	-0.0793490126488653	0.139229722969175	0.078022092162902	0.0898277648224265	0.240410420431925	0.134784570111087	0.0635513160374944	0.139964083996265	0.171645003150139	0.163152760684246	0.0852768860835419	-0.375049884303909	0.124948267225566	-0.0991020899647744	-0.190762887830826	-0.196890656146385	-0.0550827657781691	-0.0807907156427932
"feces__J440"	-0.253237685358399	-0.0180240570338269	-0.148371825463945	0.408610842110592	-0.0019729325406425	0.14146067672628	0.0453916502610563	-0.0176367792460793	0.124129307435146	-0.0428786010062206	0.0540258052358752	-0.169897776838331	0.197299235079276	0.0335307887681007	0.160184105712261	-0.161023275330332	-0.248499205919782	-0.0409379048230875	-0.128491329116786	-0.0503759688637137	-0.0242171963534373	0.251551339184919	-0.0294653462546006	-0.128389919668239	0.0321996500611692	0.184202800388286	-0.0663143963644801	0.125932050276142	0.0919402670098103
"feces__J441"	0.173509557048668	0.0607246435776068	-0.175446945248235	0.0704880878633215	0.263498673699588	0.0979300210939496	0.11546915233965	0.0850852919444677	-0.102097971900253	0.00208470795168059	-0.0773985983634762	0.12891879718715	0.350617574236133	0.195918493753937	0.0472595919520303	-0.00133727109293307	0.107208895528181	-0.107784280035897	-0.123850273194539	-0.296084676126274	0.0886105319824586	-0.110908911386643	0.198704302902447	0.270385280325519	-0.122445697079251	0.13013069566187	0.0536195702468629	-0.231432180834277	-0.00463420502436767
"feces__J442"	0.247291114495309	0.0995539644779439	-0.0202229498798263	0.188084634296511	-0.093102981703664	-0.111048383210037	-0.130625745017803	-0.0353520734996695	-0.149648120226431	0.0642845237518385	-0.446296963108749	-0.338601309111134	-0.0386447291767671	-0.0461803534626784	-0.133056886050203	-0.111241089694166	-0.176011095575564	-0.0523544858662854	0.21754921431445	-0.0158343221180379	-0.217340093795125	0.0491804331700088	0.191479219965778	-0.0541469382801579	0.0319361039758525	0.116468634761019	-0.128649700783691	0.0697056004423295	0.0724294586927031
