#OTU ID	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo102172	4	2	1	0	3	3	0	1	1	0	1	2	0	1	0	1	1	1	1	1	1	0	5	4	9	2	0	1	0	1	1	0	0	9	3	0	2	1	1	0	1	1
denovo102183	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	4	0	1	0	0	0	0	2	0	0	1	0	1	1	0	2	0	0	2	0	0	0
denovo102208	2	0	0	4	0	4	0	6	0	3	5	0	0	0	0	1	0	2	0	2	6	1	0	0	2	0	0	0	0	0	0	0	5	0	0	0	1	0	7	0	0	0
denovo102210	5	0	1	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	3	1	4	1	1	1	3	1	0	2	2	1	0	0	4	0	0	0	1	0
denovo102219	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	2	0	0	0	3	0	0	5	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0
denovo102254	2	1	0	0	0	3	0	2	0	0	0	0	0	1	0	0	1	0	0	2	2	0	1	0	0	0	6	2	2	0	0	0	2	0	4	4	3	0	0	1	4	0
denovo102309	2	1	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	4	0	0
denovo102316	9	0	3	1	2	3	0	2	2	3	2	1	3	1	0	1	3	0	2	1	0	1	10	2	13	3	7	0	0	1	4	0	2	3	1	1	3	3	2	0	0	0
denovo102332	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	2	3	0	0	0	0	0	2	0	0	0	1	2	1	0	0
denovo102403	4	0	0	2	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	3	0	3	0	0	1	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
denovo102420	2	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	2	3
denovo102453	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	3	0	0	1	0	2	1	0	1	0	8	0	3	0	0	0	0	0	0	0	0	0	0	4	7	1	1
denovo102463	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	3	0	0	1	0	0	0
denovo102477	46	15	5	6	7	3	19	36	0	29	206	7	5	18	7	35	0	37	0	57	0	0	28	0	3	39	8	96	29	40	24	50	2	0	35	26	15	10	35	36	52	13
denovo102478	3	2	0	6	1	1	2	0	2	2	1	0	0	0	2	0	0	0	0	2	0	0	0	0	5	0	3	0	2	1	1	2	0	0	0	2	0	2	0	0	4	0
denovo102485	5	1	0	2	11	0	1	1	6	5	0	1	3	5	1	2	4	1	0	0	0	3	7	0	2	2	4	2	3	0	0	2	0	4	2	1	2	3	2	0	2	0
denovo102496	1	5	2	3	3	8	0	0	2	0	0	0	4	0	3	0	0	1	0	5	7	0	1	2	3	0	3	4	7	1	6	0	1	15	1	0	0	0	3	4	1	2
denovo102501	0	1	0	0	0	0	16	0	0	0	1	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	6	1	4
denovo102599	2	0	0	0	0	0	1	0	1	2	0	0	1	0	1	0	0	1	0	0	3	0	0	3	1	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0
denovo102713	5	0	0	5	0	0	0	6	0	2	6	0	0	2	1	3	2	3	4	5	3	1	0	1	4	4	2	3	0	2	1	4	7	0	2	3	0	2	1	4	1	5
denovo102737	1	0	0	0	1	1	0	4	0	0	0	0	1	0	0	0	3	0	1	0	3	7	2	1	0	0	0	2	0	0	0	1	1	0	0	0	0	1	1	3	2	1
denovo102812	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	5	0	0	1	0	1	0	1	0	0	0	0	0	2	1	1	0	1	1	1	0	1	2	0	0
denovo102815	0	4	0	2	2	0	2	1	1	0	0	9	5	1	2	0	1	0	0	0	0	0	0	0	10	0	3	0	1	1	4	0	0	3	1	0	0	3	0	2	4	0
denovo102835	3	0	0	0	6	1	2	2	0	1	2	1	1	0	0	0	3	0	1	0	1	2	2	2	1	0	1	5	0	0	0	0	1	0	0	1	0	0	0	0	1	0
denovo102844	0	0	0	0	1	0	2	0	1	1	0	0	2	0	0	0	0	0	2	0	0	0	0	3	1	0	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0
denovo102846	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	2	0	0	0	2	0	0	1	0	3	3	2	0	1	0	0	0
denovo102867	0	14	0	48	0	46	36	5	4	0	2	1	0	1	28	0	0	136	1	66	14	1	0	1	5	0	3	44	2	73	7	174	270	1	0	2	5	3	20	0	11	0
denovo102887	1	0	4	2	0	0	6	0	7	6	0	0	0	2	0	4	5	2	0	0	6	1	6	0	0	9	5	0	7	1	0	0	1	0	4	5	5	0	8	6	0	0
denovo102894	0	0	0	0	1	0	1	0	3	2	0	1	5	0	0	0	0	0	2	2	5	2	0	6	1	0	2	4	1	0	1	2	0	0	4	1	2	4	1	5	1	2
denovo102901	0	0	0	0	1	4	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	1	0	4	0	2	0	1	0	4	0	0	1
denovo102913	2	0	18	3	0	3	5	1	8	9	2	0	4	13	0	20	9	3	0	12	15	2	9	1	0	3	4	4	1	4	0	8	15	0	1	3	4	0	3	22	2	0
denovo102936	8	0	0	2	3	2	7	2	1	1	0	2	1	0	0	0	0	0	0	3	0	0	0	5	3	1	0	1	0	0	1	1	0	4	1	5	3	1	5	0	0	5
denovo102962	3	0	1	0	1	0	2	0	2	3	0	0	0	0	4	0	2	2	1	2	2	0	2	2	4	1	0	2	0	0	1	0	0	1	0	0	4	0	0	0	1	3
denovo102972	7	0	0	0	0	5	1	0	0	0	0	2	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0	0	0	2	0
denovo103046	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	1	0	0	0	2	0	0	0	0	1	2	0	1
denovo103064	0	0	0	0	0	7	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	2	0	0	5	3	0	2	2	0	0	6
denovo103084	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	3	8	0	0	0	2	2	0	0	0	0	1	0	0	3	1	3	0	1	0	0	0	0	0	0
denovo103107	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	4	0	0	3	0	1	0	3	1	0	0	11	0	0	8	0	4	0	0	1	0	2	0	0	1
denovo103130	0	0	1	0	0	3	2	6	0	0	0	0	0	0	0	4	0	0	0	3	1	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0
denovo103269	1	2	0	0	0	4	3	2	4	6	0	0	3	2	0	0	0	4	0	1	0	2	2	0	7	0	2	0	0	0	0	0	0	0	4	0	0	0	2	1	4	2
denovo103271	1	0	0	0	2	0	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0
denovo103297	6	4	0	0	1	0	0	1	1	0	4	10	10	14	9	1	1	6	12	1	3	6	5	12	2	1	6	16	10	6	2	6	2	4	4	1	3	6	0	3	8	8
denovo103305	4	0	5	0	1	2	0	0	2	0	0	2	0	4	0	0	2	1	2	0	0	0	2	1	0	0	2	4	1	0	0	2	0	0	2	0	7	0	1	0	6	0
denovo103328	0	0	6	0	0	1	5	1	19	9	0	0	5	2	0	8	6	2	0	2	0	11	17	3	2	2	3	2	7	4	0	6	10	0	1	0	6	0	0	1	1	2
denovo103368	1	5	1	0	14	0	0	0	0	0	0	7	5	0	0	0	0	1	2	3	1	11	0	0	1	0	0	7	0	1	2	1	0	0	1	3	2	0	0	0	2	1
denovo103431	0	2	0	4	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	2	0	3	0	0	0	3	0	0	1	0
