#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo56806	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	2	1	5	0	1	0	0	0	0	1	3	0	0	4	0	0	0	9
denovo56889	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	6	0	0	0	0	1	1
denovo56921	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__; s__	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	2	0	3	2	0	3	0	0	0	0
denovo56930	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	4	9	4	3	0	2	1	1	0	0	0	2	0	0	0	13	0	0	1	0	0	0	1	2	0	1	0	0	4	4	14	0	0	4	0	0	0	1	0	3
denovo56946	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	6	0	2	7	0	6	2	6	0	2	11	2	1	1	0	0	1	4	3	2	0	0	1	0	0	1	0	3	0	0	0	0	4	0	0	3	0	0	2	3	4	2
denovo56958	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0	1	4	0	0	0	0	0	4	2	0	0	0	3	0	2	5	1	0	4	0	4	4	0	0	6	1	0	1	0	0	0	0	0	2	0	7	0	0	0	0	0
denovo56972	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	0	1	0	0	0	0	1	1	0	1	1	0	2	1	0	1	0	3	0	2	0	0	1	0	0	0	1	1	2	2	1	0	0	0	0	0	3	1	0	0	0
denovo57000	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	6	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	2	0	0	0	1	1	1	0	0	0	0	0	0	2	0	1	0	2	0	0	0
denovo57080	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	1	1	6	0	2	0	2	0	0	3	12	2	7	0	0	8	18	5	1	0	1	3	8	29	6	2	2	11	0	9	2	1	0	2	4	18	6	2	14	12	0
denovo57097	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	4	3	1	0	4	1	3	2	2	2	0	0	2	0	0	2	0	3	3	0	3	3	1	4	3	3	0	0	3	0	2	3	0	1	0	0	0	3	4	0	3	0
denovo57124	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	5	0	0	0	1	7	1	2	16	6	0	3	1	6	0	1	4	3	0	0	1	2	8	0	2	4	0	4	4	1	2	14	7	0	0	5	3	1	6	2	1	3
denovo57179	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__; s__	0	2	0	1	0	0	0	0	0	2	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
denovo57221	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	0	0	0	0	1	0	0	1	0	0	2	1	0	1	0	0	2	0	3	0	1	0	7	2	0	2	1	6	1	2	0	1	2	1	2	0	0	0	1	0	0
denovo57247	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	1	6	0	1	0	0	0	5	1	0	2	0	0	0	1	0	6	0	2	0	0	0	0	0	1	0	0	2	0	3	1	0	2	0	1	0	0	2	0	7	0
